filename,caption
00401.JPG,"a large area of water erosion with visible crack and pilled concrete, with blue white green cable running horizontally on the concrete wall"
00402.JPG,a small area of efflorescence on the concrete wall
00403.JPG,"a concrete wall with area of water erosion, with small area of efflorescence and exposed rebar"
00404.JPG,a small area of efflorescence and crack on the concrete wall with multi cables run horizontally on the concrete wall
00405.JPG,concrete wall with visible rough textures and drainage holes clogged by a piece of cement. a number label nameplate is located on the right side of the image
00406.JPG,"concrete wall with visible horizontal cables and metal pipe. some surface discoloration, yellow chalk check crank position and describe the damage, right of the image have a wire vertical across the wall"
00407.JPG,"a concrete wall with large area of efflorescence and water erosion, with exposed rebar on the upper wall, with a white chalk marked vertically, horizontally on the concrete wall"
00408.JPG,concrete wall with yellow chalk marking the damage area. a small section of the wall has discoloration and rough patches. horizontal cables are secured to the wall.
00409.JPG,concrete wall with visible rough textures and drainage holes clogged by a piece of cement. a number label nameplate is located on the right side of the image
00410.JPG,a small area of efflorescence and crack on the concrete wall with multi cables run horizontally on the concrete wall
00411.JPG,"a concrete wall with large area of efflorescence and water erosion, with the concrete wall falling off on the dark area, an exposed rebar around the falling off area"
00412.JPG,"a concrete wall with prominent dark streaks and horizontal cables near the upper section. scattered small holes are visible across the wall, with a brackets horizontal across under of the image"
00413.JPG,"concrete wall with visible water stains and dark streaks. horizontal cables are affixed at the top of the image, with a section of the wall showing rough texture and water erosion, right of stains have large area of efflorescence"
00414.JPG,"concrete wall with an exposed rebar, with black cable pipe on the upper right of the image, with a white chalk marked damage area of the wall is marked with white chalk"
00415.JPG,"an image of concrete wall, with yellow chalk marked vertically on the concrete wall, with some letter written next to it, with cable and pipe running horizontally on the concrete wall. a cable and pipe is supported by rectangular shaped bracket"
00416.JPG,"a concrete wall with large area of efflorescence and water erosion, with the concrete wall falling off"
00417.JPG,"a concrete wall with visible crack on the middle of the surface, multi cables horizontal across bottom of the image, with rough texture on the concrete surface"
00418.JPG,"a flashing light shining on concrete wall, with a horizontal layer of efflorescence in the middle of the image, with areas of water erosion around the efflorescence, with a small area of exposed rebar, blue fabric wrapped pipe is located on the bottom right of the image"
